Number,CLDR,Emoji,Name,Dict - Meaning,Dict - Where Does It Come From?,Dict - Who Uses It?,Image,Url
36,clinking-beer-mugs-emoji,🍻, Clinking Beer Mugs emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f37b.svg,https://www.dictionary.com/e/emoji/clinking-beer-mugs-emoji/
37,leo-emoji,♌, Leo emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/264c.svg,https://www.dictionary.com/e/emoji/leo-emoji/
38,lion-emoji,🦁, Lion emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f981.svg,https://www.dictionary.com/e/emoji/lion-emoji/
39,face-exhaling-emoji,😮,‍ Face Exhaling emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f62e.svg,https://www.dictionary.com/e/emoji/face-exhaling-emoji/
40,face-in-clouds-emoji,😶,‍ Face in Clouds emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f636.svg,https://www.dictionary.com/e/emoji/face-in-clouds-emoji/
41,woman-with-beard-emoji,🧔,‍ Woman with Beard emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9d4.svg,https://www.dictionary.com/e/emoji/woman-with-beard-emoji/
42,face-with-spiral-eyes,😵,‍ Face With Spiral Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f635.svg,https://www.dictionary.com/e/emoji/face-with-spiral-eyes/
43,alien-monster-emoji,👾, Alien Monster emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f47e.svg,https://www.dictionary.com/e/emoji/alien-monster-emoji/
44,french-fries-emoji,🍟, French Fries emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f35f.svg,https://www.dictionary.com/e/emoji/french-fries-emoji/
45,soft-ice-cream-emoji,🍦,Soft Ice Cream emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f366.svg,https://www.dictionary.com/e/emoji/soft-ice-cream-emoji/
46,ice-cream-emoji,🍨, Ice Cream emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f368.svg,https://www.dictionary.com/e/emoji/ice-cream-emoji/
47,chocolate-bar-emoji,🍫, Chocolate Bar emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f36b.svg,https://www.dictionary.com/e/emoji/chocolate-bar-emoji/
48,video-game-emoji,🎮, Video Game emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3ae.svg,https://www.dictionary.com/e/emoji/video-game-emoji/
49,maple-leaf-emoji,🍁, Maple Leaf emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f341.svg,https://www.dictionary.com/e/emoji/maple-leaf-emoji/
50,person-biking-emoji,🚴, Person Biking emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6b4.svg,https://www.dictionary.com/e/emoji/person-biking-emoji/
51,person-mountain-biking-emoji,🚵, Person Mountain Biking emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6b5.svg,https://www.dictionary.com/e/emoji/person-mountain-biking-emoji/
52,smiling-face-with-sunglasses-emoji,😎, Face With Sunglasses emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f60e.svg,https://www.dictionary.com/e/emoji/smiling-face-with-sunglasses-emoji/
53,selfie-emoji,🤳, Selfie emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f933.svg,https://www.dictionary.com/e/emoji/selfie-emoji/
54,person-in-lotus-position-emoji,🧘, Person in Lotus Position emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9d8.svg,https://www.dictionary.com/e/emoji/person-in-lotus-position-emoji/
55,cancer-emoji,♋, Cancer emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/264b.svg,https://www.dictionary.com/e/emoji/cancer-emoji/
56,dog-emoji,🐕, Dog emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f415.svg,https://www.dictionary.com/e/emoji/dog-emoji/
57,dog-face-emoji,🐶, Dog Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f436.svg,https://www.dictionary.com/e/emoji/dog-face-emoji/
58,water-wave-emoji,🌊, Water Wave emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f30a.svg,https://www.dictionary.com/e/emoji/water-wave-emoji/
59,ice-hockey-emoji,🏒, Ice Hockey emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3d2.svg,https://www.dictionary.com/e/emoji/ice-hockey-emoji/
60,field-hockey-emoji,🏑, Field Hockey emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3d1.svg,https://www.dictionary.com/e/emoji/field-hockey-emoji/
61,cheese-emoji,🧀, Cheese emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9c0.svg,https://www.dictionary.com/e/emoji/cheese-emoji/
62,tennis-racquet-and-ball-emoji,🎾, Tennis Racquet and Ball emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3be.svg,https://www.dictionary.com/e/emoji/tennis-racquet-and-ball-emoji/
63,chequered-flag-emoji,🏁, Chequered Flag emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3c1.svg,https://www.dictionary.com/e/emoji/chequered-flag-emoji/
64,ufo-emoji,🛸, UFO emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6f8.svg,https://www.dictionary.com/e/emoji/ufo-emoji/
65,wine-emoji,🍷, Wine emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f377.svg,https://www.dictionary.com/e/emoji/wine-emoji/
66,gemini-emoji,♊, Gemini emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/264a.svg,https://www.dictionary.com/e/emoji/gemini-emoji/
67,memo-emoji,📝, Memo emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4dd.svg,https://www.dictionary.com/e/emoji/memo-emoji/
68,basketball-emoji,🏀, Basketball emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3c0.svg,https://www.dictionary.com/e/emoji/basketball-emoji/
69,breast-feeding-emoji,🤱, Breast-feeding emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f931.svg,https://www.dictionary.com/e/emoji/breast-feeding-emoji/
70,bouquet-emoji,💐, Bouquet emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f490.svg,https://www.dictionary.com/e/emoji/bouquet-emoji/
71,newspaper-emoji,📰, Newspaper emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4f0.svg,https://www.dictionary.com/e/emoji/newspaper-emoji/
72,horse-racing-emoji,🏇, Horse Racing emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3c7.svg,https://www.dictionary.com/e/emoji/horse-racing-emoji/
73,horse-emoji,🐎, Horse emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f40e.svg,https://www.dictionary.com/e/emoji/horse-emoji/
74,horse-face-emoji,🐴, Horse Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f434.svg,https://www.dictionary.com/e/emoji/horse-face-emoji/
75,globe-showing-europe-africa,🌍, Globe Showing Europe-Africa,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f30d.svg,https://www.dictionary.com/e/emoji/globe-showing-europe-africa/
76,globe-showing-americas,🌎, Globe Showing Americas,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f30e.svg,https://www.dictionary.com/e/emoji/globe-showing-americas/
77,globe-showing-asia-australia,🌏, Globe Showing Asia-Australia,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f30f.svg,https://www.dictionary.com/e/emoji/globe-showing-asia-australia/
78,fallen-leaf-emoji,🍂, Fallen Leaf emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f342.svg,https://www.dictionary.com/e/emoji/fallen-leaf-emoji/
79,leaf-fluttering-in-the-wind-emoji,🍃, Leaf Fluttering in the Wind emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f343.svg,https://www.dictionary.com/e/emoji/leaf-fluttering-in-the-wind-emoji/
80,egg-emoji,🥚, Egg emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f95a.svg,https://www.dictionary.com/e/emoji/egg-emoji/
81,rabbit-emoji,🐇, Rabbit emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f407.svg,https://www.dictionary.com/e/emoji/rabbit-emoji/
82,rabbit-face-emoji,🐰, Rabbit Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f430.svg,https://www.dictionary.com/e/emoji/rabbit-face-emoji/
83,baby-chick-emoji,🐤, Baby Chick emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f424.svg,https://www.dictionary.com/e/emoji/baby-chick-emoji/
84,hatching-chick-emoji,🐣, Hatching Chick emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f423.svg,https://www.dictionary.com/e/emoji/hatching-chick-emoji/
85,hamburger-emoji,🍔, Hamburger emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f354.svg,https://www.dictionary.com/e/emoji/hamburger-emoji/
86,purple-heart-emoji,💜, Purple Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49c.svg,https://www.dictionary.com/e/emoji/purple-heart-emoji/
87,pie-emoji,🥧, Pie emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f967.svg,https://www.dictionary.com/e/emoji/pie-emoji/
88,woman-emoji,👩, Woman emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f469.svg,https://www.dictionary.com/e/emoji/woman-emoji/
89,orangutan-emoji,🦧, Orangutan emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a7.svg,https://www.dictionary.com/e/emoji/orangutan-emoji/
90,otter-emoji,🦦, Otter emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a6.svg,https://www.dictionary.com/e/emoji/otter-emoji/
91,flamingo-emoji,🦩, Flamingo emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a9.svg,https://www.dictionary.com/e/emoji/flamingo-emoji/
92,movie-camera-emoji,🎥, Movie Camera emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3a5.svg,https://www.dictionary.com/e/emoji/movie-camera-emoji/
93,eagle-emoji,🦅, Eagle emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f985.svg,https://www.dictionary.com/e/emoji/eagle-emoji/
94,pancakes-emoji,🥞, Pancakes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f95e.svg,https://www.dictionary.com/e/emoji/pancakes-emoji/
95,american-football-emoji,🏈, American Football emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3c8.svg,https://www.dictionary.com/e/emoji/american-football-emoji/
96,slice-pizza-emoji,🍕, Slice of Pizza emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f355.svg,https://www.dictionary.com/e/emoji/slice-pizza-emoji/
97,ox-emoji,🐂, Ox emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f402.svg,https://www.dictionary.com/e/emoji/ox-emoji/
98,cold-face-emoji,🥶, Cold Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f976.svg,https://www.dictionary.com/e/emoji/cold-face-emoji/
99,green-heart-emoji,💚, Green Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49a.svg,https://www.dictionary.com/e/emoji/green-heart-emoji/
100,heart-with-ribbon-emoji,💝, Heart With Ribbon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49d.svg,https://www.dictionary.com/e/emoji/heart-with-ribbon-emoji/
101,couple-with-heart-emoji,💑, Couple With Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f491.svg,https://www.dictionary.com/e/emoji/couple-with-heart-emoji/
102,heart-decoration-emoji,💟, Heart Decoration emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49f.svg,https://www.dictionary.com/e/emoji/heart-decoration-emoji/
103,white-heart-emoji,🤍, White Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f90d.svg,https://www.dictionary.com/e/emoji/white-heart-emoji/
104,orange-heart-emoji,🧡, Orange Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9e1.svg,https://www.dictionary.com/e/emoji/orange-heart-emoji/
105,brown-heart-emoji,🤎, Brown Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f90e.svg,https://www.dictionary.com/e/emoji/brown-heart-emoji/
106,microbe-emoji,🦠, Microbe emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a0.svg,https://www.dictionary.com/e/emoji/microbe-emoji/
107,dolphin-emoji,🐬, Dolphin emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f42c.svg,https://www.dictionary.com/e/emoji/dolphin-emoji/
108,shark-emoji,🦈, Shark emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f988.svg,https://www.dictionary.com/e/emoji/shark-emoji/
109,raised-fist-emoji,✊, Raised Fist emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/270a.svg,https://www.dictionary.com/e/emoji/raised-fist-emoji/
110,pleading-face-emoji,🥺, Pleading Face Emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f97a.svg,https://www.dictionary.com/e/emoji/pleading-face-emoji/
111,face-with-medical-mask-emoji,😷, Face With Medical Mask emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f637.svg,https://www.dictionary.com/e/emoji/face-with-medical-mask-emoji/
112,clown-face-emoji,🤡, Clown Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f921.svg,https://www.dictionary.com/e/emoji/clown-face-emoji/
113,zombie-emoji,🧟, Zombie emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9df.svg,https://www.dictionary.com/e/emoji/zombie-emoji/
114,bat-emoji,🦇, Bat emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f987.svg,https://www.dictionary.com/e/emoji/bat-emoji/
115,candy-emoji,🍬, Candy emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f36c.svg,https://www.dictionary.com/e/emoji/candy-emoji/
116,vampire-emoji,🧛, Vampire emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9db.svg,https://www.dictionary.com/e/emoji/vampire-emoji/
117,sleeping-symbol-emoji,💤, Sleeping Symbol emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4a4.svg,https://www.dictionary.com/e/emoji/sleeping-symbol-emoji/
118,blue-heart-emoji,💙, Blue Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f499.svg,https://www.dictionary.com/e/emoji/blue-heart-emoji/
119,rose-emoji,🌹, Rose emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f339.svg,https://www.dictionary.com/e/emoji/rose-emoji/
120,oyster-emoji,🦪, Oyster emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9aa.svg,https://www.dictionary.com/e/emoji/oyster-emoji/
121,person-kneeling-emoji,🧎,Person Kneeling emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9ce.svg,https://www.dictionary.com/e/emoji/person-kneeling-emoji/
122,ice-cube-emoji,🧊, Ice Cube emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9ca.svg,https://www.dictionary.com/e/emoji/ice-cube-emoji/
123,skunk-emoji,🦨, Skunk emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a8.svg,https://www.dictionary.com/e/emoji/skunk-emoji/
124,sloth-emoji,🦥, Sloth emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9a5.svg,https://www.dictionary.com/e/emoji/sloth-emoji/
125,drop-of-blood-emoji,🩸, Drop of Blood emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1fa78.svg,https://www.dictionary.com/e/emoji/drop-of-blood-emoji/
126,person-taking-bath-emoji,🛀, Person Taking a Bath emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6c0.svg,https://www.dictionary.com/e/emoji/person-taking-bath-emoji/
127,foot-emoji,🦶, Foot emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9b6.svg,https://www.dictionary.com/e/emoji/foot-emoji/
128,pinching-hand-emoji,🤏, Pinching Hand emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f90f.svg,https://www.dictionary.com/e/emoji/pinching-hand-emoji/
129,mooncake-emoji,🥮, Mooncake emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f96e.svg,https://www.dictionary.com/e/emoji/mooncake-emoji/
130,playing-card-black-joker-emoji,🃏,Playing Card Black Joker emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f0cf.svg,https://www.dictionary.com/e/emoji/playing-card-black-joker-emoji/
131,yellow-heart-emoji,💛, Yellow Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49b.svg,https://www.dictionary.com/e/emoji/yellow-heart-emoji/
132,face-screaming-in-fear-emoji,😱, Face Screaming In Fear emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f631.svg,https://www.dictionary.com/e/emoji/face-screaming-in-fear-emoji/
133,revolving-hearts-emoji,💞, Revolving Hearts emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f49e.svg,https://www.dictionary.com/e/emoji/revolving-hearts-emoji/
134,growing-heart-emoji,💗, Growing Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f497.svg,https://www.dictionary.com/e/emoji/growing-heart-emoji/
135,skull-emoji,💀, Skull emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f480.svg,https://www.dictionary.com/e/emoji/skull-emoji/
136,pretzel-emoji,🥨, Pretzel emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f968.svg,https://www.dictionary.com/e/emoji/pretzel-emoji/
137,croissant-emoji,🥐, Croissant emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f950.svg,https://www.dictionary.com/e/emoji/croissant-emoji/
138,lizard-emoji,🦎, Lizard emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f98e.svg,https://www.dictionary.com/e/emoji/lizard-emoji/
139,turkey-emoji,🦃, Turkey emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f983.svg,https://www.dictionary.com/e/emoji/turkey-emoji/
140,parrot-emoji,🦜, Parrot emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f99c.svg,https://www.dictionary.com/e/emoji/parrot-emoji/
141,tulip-emoji,🌷, Tulip emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f337.svg,https://www.dictionary.com/e/emoji/tulip-emoji/
142,strawberry-emoji,🍓, Strawberry emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f353.svg,https://www.dictionary.com/e/emoji/strawberry-emoji/
143,woozy-face-emoji,🥴, Woozy Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f974.svg,https://www.dictionary.com/e/emoji/woozy-face-emoji/
144,flushed-face-emoji,😳, Flushed Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f633.svg,https://www.dictionary.com/e/emoji/flushed-face-emoji/
145,raising-hands-emoji,🙌,  Raising Hands emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f64c.svg,https://www.dictionary.com/e/emoji/raising-hands-emoji/
146,grinning-face-with-sweat-emoji,😅, Grinning Face With Sweat emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f605.svg,https://www.dictionary.com/e/emoji/grinning-face-with-sweat-emoji/
147,llama-emoji,🦙, Llama emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f999.svg,https://www.dictionary.com/e/emoji/llama-emoji/
148,ghost-emoji,👻, Ghost emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f47b.svg,https://www.dictionary.com/e/emoji/ghost-emoji/
149,skateboard-emoji,🛹, Skateboard emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6f9.svg,https://www.dictionary.com/e/emoji/skateboard-emoji/
150,sandwich-emoji,🥪, Sandwich emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f96a.svg,https://www.dictionary.com/e/emoji/sandwich-emoji/
151,alarm-clock-emoji,⏰, Alarm Clock emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/23f0.svg,https://www.dictionary.com/e/emoji/alarm-clock-emoji/
152,zipper-mouth-face-emoji,🤐, Zipper Mouth Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f910.svg,https://www.dictionary.com/e/emoji/zipper-mouth-face-emoji/
153,shushing-face-emoji,🤫, Shushing Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f92b.svg,https://www.dictionary.com/e/emoji/shushing-face-emoji/
154,school-emoji,🏫, School emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3eb.svg,https://www.dictionary.com/e/emoji/school-emoji/
155,pistol-emoji,🔫, Pistol emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f52b.svg,https://www.dictionary.com/e/emoji/pistol-emoji/
156,love-you-gesture-emoji,🤟, I Love You Gesture emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f91f.svg,https://www.dictionary.com/e/emoji/love-you-gesture-emoji/
