Number,CLDR,Emoji,Name,Dict - Meaning,Dict - Where Does It Come From?,Dict - Who Uses It?,Image,Url
157,chestnut-emoji,🌰, Chestnut emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f330.svg,https://www.dictionary.com/e/emoji/chestnut-emoji/
158,burrito-emoji,🌯, Burrito emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f32f.svg,https://www.dictionary.com/e/emoji/burrito-emoji/
159,peacock-emoji,🦚, Peacock emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f99a.svg,https://www.dictionary.com/e/emoji/peacock-emoji/
160,thought-balloon-emoji,💭, Thought Balloon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4ad.svg,https://www.dictionary.com/e/emoji/thought-balloon-emoji/
161,pineapple-emoji,🍍, Pineapple emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f34d.svg,https://www.dictionary.com/e/emoji/pineapple-emoji/
162,lobster-emoji,🦞, Lobster emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f99e.svg,https://www.dictionary.com/e/emoji/lobster-emoji/
163,key-emoji,🔑, Key emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f511.svg,https://www.dictionary.com/e/emoji/key-emoji/
164,palm-tree-emoji,🌴, Palm Tree emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f334.svg,https://www.dictionary.com/e/emoji/palm-tree-emoji/
165,watermelon-emoji,🍉, Watermelon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f349.svg,https://www.dictionary.com/e/emoji/watermelon-emoji/
166,cucumber-emoji,🥒, Cucumber emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f952.svg,https://www.dictionary.com/e/emoji/cucumber-emoji/
167,lollipop-emoji,🍭, Lollipop emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f36d.svg,https://www.dictionary.com/e/emoji/lollipop-emoji/
168,carrot-emoji,🥕, Carrot emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f955.svg,https://www.dictionary.com/e/emoji/carrot-emoji/
169,butterfly-emoji,🦋, Butterfly emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f98b.svg,https://www.dictionary.com/e/emoji/butterfly-emoji/
170,black-heart-emoji,🖤, Black Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f5a4.svg,https://www.dictionary.com/e/emoji/black-heart-emoji/
171,heavy-dollar-sign-emoji,💲, Heavy Dollar Sign emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4b2.svg,https://www.dictionary.com/e/emoji/heavy-dollar-sign-emoji/
172,baby-emoji,👶, Baby emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f476.svg,https://www.dictionary.com/e/emoji/baby-emoji/
173,dancer,💃, Dancer emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f483.svg,https://www.dictionary.com/e/emoji/dancer/
174,doughnut,🍩, Doughnut emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f369.svg,https://www.dictionary.com/e/emoji/doughnut/
175,princess,👸, Princess emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f478.svg,https://www.dictionary.com/e/emoji/princess/
176,bow-and-arrow,🏹, Bow and Arrow emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3f9.svg,https://www.dictionary.com/e/emoji/bow-and-arrow/
177,japanese-dolls,🎎, Japanese Dolls emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f38e.svg,https://www.dictionary.com/e/emoji/japanese-dolls/
178,bomb,💣, Bomb emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4a3.svg,https://www.dictionary.com/e/emoji/bomb/
179,vulcan-salute,🖖, Vulcan Salute emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f596.svg,https://www.dictionary.com/e/emoji/vulcan-salute/
180,cat,🐈, Cat emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f408.svg,https://www.dictionary.com/e/emoji/cat/
181,jack-o-lantern,🎃, Jack-O’-Lantern emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f383.svg,https://www.dictionary.com/e/emoji/jack-o-lantern/
182,face-with-tongue,😛, Face with Tongue emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f61b.svg,https://www.dictionary.com/e/emoji/face-with-tongue/
183,drooling-face,🤤, Drooling Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f924.svg,https://www.dictionary.com/e/emoji/drooling-face/
184,money-mouth-face,🤑, Money Mouth Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f911.svg,https://www.dictionary.com/e/emoji/money-mouth-face/
185,red-apple,🍎, Red Apple emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f34e.svg,https://www.dictionary.com/e/emoji/red-apple/
186,love-hotel,🏩, Love Hotel emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3e9.svg,https://www.dictionary.com/e/emoji/love-hotel/
187,love-letter,💌, Love Letter emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f48c.svg,https://www.dictionary.com/e/emoji/love-letter/
188,graduation-cap,🎓, Graduation Cap emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f393.svg,https://www.dictionary.com/e/emoji/graduation-cap/
189,lemon,🍋, Lemon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f34b.svg,https://www.dictionary.com/e/emoji/lemon/
190,glasses,👓, Glasses emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f453.svg,https://www.dictionary.com/e/emoji/glasses/
191,smirking-face,😏, Smirking Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f60f.svg,https://www.dictionary.com/e/emoji/smirking-face/
192,face-with-steam-from-nose,😤, Face with Steam from Nose emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f624.svg,https://www.dictionary.com/e/emoji/face-with-steam-from-nose/
193,moai,🗿, Moai emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f5ff.svg,https://www.dictionary.com/e/emoji/moai/
194,raised-hand,✋, Raised Hand emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/270b.svg,https://www.dictionary.com/e/emoji/raised-hand/
195,slightly-frowning-face,🙁, Slightly Frowning Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f641.svg,https://www.dictionary.com/e/emoji/slightly-frowning-face/
196,backpack-emoji,🎒, Backpack emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f392.svg,https://www.dictionary.com/e/emoji/backpack-emoji/
197,handbag,👜, Handbag emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f45c.svg,https://www.dictionary.com/e/emoji/handbag/
198,rainbow-emoji,🌈, Rainbow emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f308.svg,https://www.dictionary.com/e/emoji/rainbow-emoji/
199,three-wise-monkeys,🙈,", ,  Three Wise Monkey emoji",,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f648.svg,https://www.dictionary.com/e/emoji/three-wise-monkeys/
200,monkey,🐒, Monkey emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f412.svg,https://www.dictionary.com/e/emoji/monkey/
201,sauropod,🦕, Sauropod emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f995.svg,https://www.dictionary.com/e/emoji/sauropod/
202,duck,🦆, Duck emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f986.svg,https://www.dictionary.com/e/emoji/duck/
203,angry-face-with-horns,👿, Angry Face With Horns emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f47f.svg,https://www.dictionary.com/e/emoji/angry-face-with-horns/
204,cigarette-emoji,🚬, Cigarette emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f6ac.svg,https://www.dictionary.com/e/emoji/cigarette-emoji/
205,red-paper-lantern-emoji,🏮, Izakaya Lantern emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f3ee.svg,https://www.dictionary.com/e/emoji/red-paper-lantern-emoji/
206,christmas-tree-emoji,🎄, Christmas Tree emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f384.svg,https://www.dictionary.com/e/emoji/christmas-tree-emoji/
207,fireworks-emoji,🎆, Fireworks emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f386.svg,https://www.dictionary.com/e/emoji/fireworks-emoji/
208,pig-emoji,🐖, Pig emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f416.svg,https://www.dictionary.com/e/emoji/pig-emoji/
209,fearful-face-emoji,😨, Fearful Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f628.svg,https://www.dictionary.com/e/emoji/fearful-face-emoji/
210,sleeping-face-emoji,😴, Sleeping Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f634.svg,https://www.dictionary.com/e/emoji/sleeping-face-emoji/
211,crying-face-emoji,😢, Crying Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f622.svg,https://www.dictionary.com/e/emoji/crying-face-emoji/
212,disappointed-face,😞, Disappointed Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f61e.svg,https://www.dictionary.com/e/emoji/disappointed-face/
213,family-emoji,👪, Family emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f46a.svg,https://www.dictionary.com/e/emoji/family-emoji/
214,bento-box-emoji,🍱, Bento Box emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f371.svg,https://www.dictionary.com/e/emoji/bento-box-emoji/
215,shooting-star-emoji,🌠, Shooting Star emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f320.svg,https://www.dictionary.com/e/emoji/shooting-star-emoji/
216,sparkles-emoji,✨, Sparkles emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/2728.svg,https://www.dictionary.com/e/emoji/sparkles-emoji/
217,astonished-face-emoji,😲, Astonished Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f632.svg,https://www.dictionary.com/e/emoji/astonished-face-emoji/
218,full-moon-emoji,🌕, Full Moon emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f315.svg,https://www.dictionary.com/e/emoji/full-moon-emoji/
219,kiss-mark-emoji,💋, Kiss Mark emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f48b.svg,https://www.dictionary.com/e/emoji/kiss-mark-emoji/
220,two-men-holding-hands-emoji,👬, Two Men Holding Hands emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f46c.svg,https://www.dictionary.com/e/emoji/two-men-holding-hands-emoji/
221,broken-heart-emoji,💔, Broken Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f494.svg,https://www.dictionary.com/e/emoji/broken-heart-emoji/
222,sparkling-heart-emoji,💖, Sparkling Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f496.svg,https://www.dictionary.com/e/emoji/sparkling-heart-emoji/
223,green-salad-emoji,🥗, Green Salad emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f957.svg,https://www.dictionary.com/e/emoji/green-salad-emoji/
224,smiling-face-with-horns-emoji,😈, Smiling Face With Horns emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f608.svg,https://www.dictionary.com/e/emoji/smiling-face-with-horns-emoji/
225,confused-face-emoji,😕, Confused Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f615.svg,https://www.dictionary.com/e/emoji/confused-face-emoji/
226,smiling-face-with-open-mouth-and-smiling-eyes-emoji,😄, Smiling Face With Open Mouth and Smiling Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f604.svg,https://www.dictionary.com/e/emoji/smiling-face-with-open-mouth-and-smiling-eyes-emoji/
227,face-with-cowboy-hat-emoji,🤠, Face with Cowboy Hat emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f920.svg,https://www.dictionary.com/e/emoji/face-with-cowboy-hat-emoji/
228,teddy-bear-emoji,🧸, Teddy Bear emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9f8.svg,https://www.dictionary.com/e/emoji/teddy-bear-emoji/
229,sake-bottle-and-cup-emoji,🍶, Sake Bottle and Cup emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f376.svg,https://www.dictionary.com/e/emoji/sake-bottle-and-cup-emoji/
230,bactrian-camel-emoji,🐫, Bactrian Camel emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f42b.svg,https://www.dictionary.com/e/emoji/bactrian-camel-emoji/
231,face-with-open-mouth-vomiting-emoji,🤮, Face Vomiting emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f92e.svg,https://www.dictionary.com/e/emoji/face-with-open-mouth-vomiting-emoji/
232,man-emoji,👨, Man emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f468.svg,https://www.dictionary.com/e/emoji/man-emoji/
233,banknote-with-dollar-sign-emoji,💵, Banknote with Dollar Sign emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4b5.svg,https://www.dictionary.com/e/emoji/banknote-with-dollar-sign-emoji/
234,nerd-face-emoji,🤓, Nerd Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f913.svg,https://www.dictionary.com/e/emoji/nerd-face-emoji/
235,banknote-with-euro-sign-emoji,💶, Banknote with Euro Sign emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4b6.svg,https://www.dictionary.com/e/emoji/banknote-with-euro-sign-emoji/
236,hugging-face-emoji,🤗, Hugging Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f917.svg,https://www.dictionary.com/e/emoji/hugging-face-emoji/
237,wrapped-present-emoji,🎁, Wrapped Present emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f381.svg,https://www.dictionary.com/e/emoji/wrapped-present-emoji/
238,kiwi-fruit-emoji,🥝, Kiwi Fruit emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f95d.svg,https://www.dictionary.com/e/emoji/kiwi-fruit-emoji/
239,flexed-biceps-emoji,💪, Flexed Biceps emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4aa.svg,https://www.dictionary.com/e/emoji/flexed-biceps-emoji/
240,left-pointing-magnifying-glass-emoji,🔍, Left Pointing Magnifying Glass emoji and  Right Pointing Magnifying Glass emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f50d.svg,https://www.dictionary.com/e/emoji/left-pointing-magnifying-glass-emoji/
241,squared-sos-emoji,🆘, Squared SOS emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f198.svg,https://www.dictionary.com/e/emoji/squared-sos-emoji/
242,pot-food-emoji,🍲, Pot Food emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f372.svg,https://www.dictionary.com/e/emoji/pot-food-emoji/
243,bearded-person-emoji,🧔, Bearded Person emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9d4.svg,https://www.dictionary.com/e/emoji/bearded-person-emoji/
244,electric-light-bulb-emoji,💡, Electric Light Bulb emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4a1.svg,https://www.dictionary.com/e/emoji/electric-light-bulb-emoji/
245,grimacing-face-emoji,😬, Grimacing Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f62c.svg,https://www.dictionary.com/e/emoji/grimacing-face-emoji/
246,face-throwing-a-kiss-emoji,😘, Face Throwing a Kiss emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f618.svg,https://www.dictionary.com/e/emoji/face-throwing-a-kiss-emoji/
247,glowing-star-emoji,🌟, Glowing Star emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f31f.svg,https://www.dictionary.com/e/emoji/glowing-star-emoji/
248,goblin-emoji,👺, Goblin emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f47a.svg,https://www.dictionary.com/e/emoji/goblin-emoji/
249,100-emoji,💯, 100 emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4af.svg,https://www.dictionary.com/e/emoji/100-emoji/
250,cross-mark-emoji,❌, Cross Mark emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/274c.svg,https://www.dictionary.com/e/emoji/cross-mark-emoji/
251,weary-face-emoji,😩, Weary Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f629.svg,https://www.dictionary.com/e/emoji/weary-face-emoji/
252,paw-prints-emoji,🐾, Paw Prints emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f43e.svg,https://www.dictionary.com/e/emoji/paw-prints-emoji/
253,hamster-face-emoji,🐹, Hamster Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f439.svg,https://www.dictionary.com/e/emoji/hamster-face-emoji/
254,statue-liberty-emoji,🗽, Statue of Liberty emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f5fd.svg,https://www.dictionary.com/e/emoji/statue-liberty-emoji/
255,adult-emoji,🧑, Adult emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f9d1.svg,https://www.dictionary.com/e/emoji/adult-emoji/
256,busts-silhouette-emoji,👥, Busts Silhouette emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f465.svg,https://www.dictionary.com/e/emoji/busts-silhouette-emoji/
257,blue-book-emoji,📘, Blue Book emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4d8.svg,https://www.dictionary.com/e/emoji/blue-book-emoji/
258,two-hearts-emoji,💕, Two Hearts emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f495.svg,https://www.dictionary.com/e/emoji/two-hearts-emoji/
259,rolling-floor-laughing-emoji,🤣, Rolling on Floor Laughing emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f923.svg,https://www.dictionary.com/e/emoji/rolling-floor-laughing-emoji/
260,t-rex-emoji,🦖, T-Rex emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f996.svg,https://www.dictionary.com/e/emoji/t-rex-emoji/
261,loudly-crying-face-emoji,😭, Loudly Crying Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f62d.svg,https://www.dictionary.com/e/emoji/loudly-crying-face-emoji/
262,hot-dog-emoji,🌭, Hot Dog emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f32d.svg,https://www.dictionary.com/e/emoji/hot-dog-emoji/
263,cherry-blossom-emoji,🌸, Cherry Blossom emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f338.svg,https://www.dictionary.com/e/emoji/cherry-blossom-emoji/
264,unicorn-face-emoji,🦄, Unicorn Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f984.svg,https://www.dictionary.com/e/emoji/unicorn-face-emoji/
265,banana-emoji,🍌, Banana emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f34c.svg,https://www.dictionary.com/e/emoji/banana-emoji/
266,circled-ideograph-congratulation-emoji,🈹, Circled Ideograph Congratulation emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f239.svg,https://www.dictionary.com/e/emoji/circled-ideograph-congratulation-emoji/
267,beating-heart-emoji,💓, Beating Heart emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f493.svg,https://www.dictionary.com/e/emoji/beating-heart-emoji/
268,jeans-emoji,👖, Jeans emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f456.svg,https://www.dictionary.com/e/emoji/jeans-emoji/
269,peach-emoji,🍑, Peach emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f351.svg,https://www.dictionary.com/e/emoji/peach-emoji/
270,crown-emoji,👑, Crown emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f451.svg,https://www.dictionary.com/e/emoji/crown-emoji/
271,emoji-cake,🎂, Birthday Cake emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f382.svg,https://www.dictionary.com/e/emoji/emoji-cake/
272,thumbs-up-emoji,👍, Thumbs Up emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f44d.svg,https://www.dictionary.com/e/emoji/thumbs-up-emoji/
273,smiling-face-with-heart-shaped-eyes-emoji,😍, Smiling Face With Heart-Shaped Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f60d.svg,https://www.dictionary.com/e/emoji/smiling-face-with-heart-shaped-eyes-emoji/
274,middle-finger-emoji,🖕, Middle Finger emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f595.svg,https://www.dictionary.com/e/emoji/middle-finger-emoji/
275,thinking-face-emoji,🤔, Thinking Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f914.svg,https://www.dictionary.com/e/emoji/thinking-face-emoji/
276,upside-down-face-emoji,🙃, Upside-Down Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f643.svg,https://www.dictionary.com/e/emoji/upside-down-face-emoji/
277,ok-hand-or-ok-emoji,👌, Ok Hand emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f44c.svg,https://www.dictionary.com/e/emoji/ok-hand-or-ok-emoji/
278,alien-emoji,👽, Alien emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f47d.svg,https://www.dictionary.com/e/emoji/alien-emoji/
279,grinning-face-with-smiling-eyes-emoji,😄, Grinning Face With Smiling Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f604.svg,https://www.dictionary.com/e/emoji/grinning-face-with-smiling-eyes-emoji/
280,nail-polish-emoji,💅, Nail Polish emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f485.svg,https://www.dictionary.com/e/emoji/nail-polish-emoji/
281,people-with-bunny-ears-emoji,👯, People With Bunny Ears emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f46f.svg,https://www.dictionary.com/e/emoji/people-with-bunny-ears-emoji/
282,person-shrugging-emoji,🤷, Person Shrugging emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f937.svg,https://www.dictionary.com/e/emoji/person-shrugging-emoji/
283,sweat-droplets-emoji,💦, Sweat Droplets emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f4a6.svg,https://www.dictionary.com/e/emoji/sweat-droplets-emoji/
284,winking-face-emoji,😉, Winking Face emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f609.svg,https://www.dictionary.com/e/emoji/winking-face-emoji/
285,eggplant-emoji,🍆, Eggplant emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f346.svg,https://www.dictionary.com/e/emoji/eggplant-emoji/
286,eyes-emoji,👀, Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f440.svg,https://www.dictionary.com/e/emoji/eyes-emoji/
287,face-without-mouth-emoji,😶, Face Without Mouth emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f636.svg,https://www.dictionary.com/e/emoji/face-without-mouth-emoji/
288,face-with-rolling-eyes-emoji,🙄, Face With Rolling Eyes emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f644.svg,https://www.dictionary.com/e/emoji/face-with-rolling-eyes-emoji/
289,face-with-tears-of-joy-emoji,😂, Face With Tears of Joy emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f602.svg,https://www.dictionary.com/e/emoji/face-with-tears-of-joy-emoji/
290,fire-emoji,🔥, Fire emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f525.svg,https://www.dictionary.com/e/emoji/fire-emoji/
291,folded-hands-emoji,🙏, Folded Hands emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f64f.svg,https://www.dictionary.com/e/emoji/folded-hands-emoji/
292,goat-emoji,🐐, Goat emoji,,,,https://s.w.org/images/core/emoji/13.0.1/svg/1f410.svg,https://www.dictionary.com/e/emoji/goat-emoji/
